__id,data_loaded_at,the_geom,analysis_neighborhood,supervisor_district,cultural_districts,number_of_districts,longitude,latitude,zip_code,street_address_or_intersection,location_description,current_location,facility,media_support,medium,display_dimensions,display_title,credit_line,artist,accession_number,data_as_of,creation_date
row-65d9_5txj_u33g,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.40512266 37.708858547),Visitacion Valley,10,Pacific Islander Cultural District,1,-122.4051227,37.70885855,94134,Bayshore Boulevard & Sunnydale Avenue,Bayshore Blvd. And Sunnydale Ave.,Public Display,3rd Street Light Rail,Stainless steel on painted steel,Stainless steel,480 x 36 x 36 in.,Untitled (Pole-mounted sculpture),Collection of the City and County of San Francisco; Commissioned by the San Franciso Arts Commission for the Third Street Light Rail Project,"Margrill, Anita and Nagasawa, Nobuho",2007.31.1,2024-04-17T12:53:50.300,2006
row-xkyn.9vem_jczn,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.405897643 37.802316863),North Beach,03,,0,-122.4058976,37.80231686,94133,1 Telegraph Hill Boulevard,1St Floor,Public Display,Coit Tower,Fresco,Fresco,120 x 48 in.,Surveyor and Ironworker,Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,"Wight, Clifford",1934.4.a-b,2024-04-17T12:53:50.300,1934
row-bvd9-7ug6.xgpn,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.402472685 37.712184427),Visitacion Valley,10,Pacific Islander Cultural District,1,-122.4024727,37.71218443,94134,Bayshore Boulevard & Arleta Avenue,Bayshore Blvd. And Arleta Ave.,Public Display,3rd Street Light Rail,Stainless steel on painted steel,Stainless steel,480 x 36 x 36 in.,Untitled (Pole-mounted sculpture),Collection of the City and County of San Francisco; Commissioned by the San Franciso Arts Commission for the Third Street Light Rail Project,"Margrill, Anita and Nagasawa, Nobuho",2007.30.1,2024-04-17T12:53:50.300,2006
row-nqrc.qa8m~zty5,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.406737686 37.777633878),South of Market,06,SOMA Pilipinas Cultural District,1,-122.4067377,37.77763388,94103,Folsom Street & Russ Street,"north fence; park is boarded by Sherman St., Folsom St., Harrison St., and Columbia Square",Public Display,Victoria Manalo Draves Park,Stainless steel on Steel,Stainless steel,72  x 72  x 1/4 in.,Untitled,Collection of the City and County of San Francisco. Commissioned by the San Francisco Arts Commission for Victoria Manalo Park,"Pijoan, Irene",2007.1.e,2024-04-17T12:53:50.300,2004-2006
row-45tr_7mer_aqt6,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.47591421 37.73837121),Sunset/Parkside,04,Sunset Chinese Cultural District,1,-122.4759142,37.73837121,94116,2695 19th Avenue,Natatorium,Public Display,Sava Pool,Photographic print on porcelain enamel,Photographic print on porcelain enamel,21 1/2 x 94 x 1 in.,"Swimmer's Waves [column D, row 1]",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Wagner, Catherine",2008.10.c,2024-04-17T12:53:50.300,2008
row-gw54.p2c8~hhpd,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.47591421 37.73837121),Sunset/Parkside,04,Sunset Chinese Cultural District,1,-122.4759142,37.73837121,94116,2695 19th Avenue,Natatorium,Public Display,Sava Pool,Photographic print on porcelain enamel on concrete,Photographic print on porcelain enamel,21 1/2 x 75 x 1 in.,"Swimmer's Waves [column A, row 6]",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Wagner, Catherine",2008.10.q,2024-04-17T12:53:50.300,2008
row-bpgn-4gei.43ep,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.388864494 37.764326782),Potrero Hill,06,,0,-122.3888645,37.76432678,94107,3rd Street & Mariposa Street,Southbound Platform,Public Display,3rd Street Light Rail,Painted steel,Painted steel,300 x 36 x 36 in.,Untitled (Pole-mounted sculpture),Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Third Street Light Rail Project,"Margrill, Anita and Nagasawa, Nobuho",2007.10.1,2024-04-17T12:53:50.300,2006
row-2975~tm4b~kv3r,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.409553853 37.798380513),Chinatown,03,,0,-122.4095539,37.79838051,94133,735 Vallejo Street,Building Facade,Public Display,North Beach Garage,Porcelain enamel on steel,Porcelain enamel,33 x 33 in.,Photos of People from the Neighborhood Enlarged and Attached to the Building,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the North Beach Parking Garage,Jon Rubin and Harrell Fletcher,2002.2.1.i,2024-04-17T12:53:50.300,2002
row-wu6j-xj5t~cdj4,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.419113006 37.746784984),Bernal Heights,09,,0,-122.419113,37.74678498,94110,Mission Sreet & Precita Avenue,Mission Street From Precita Ave. to Cortland Ave.,Public Display,Mission St. sidewalk,Concrete,Concrete,Varies,Substrada,Collection of the City and County of San Francisco; Commissioned for by the San Francisco Arts Commission for the Bernal Heights Sidewalk Enhancement Project,"Goggin, Brian",1999.17.1-9,2024-04-17T12:53:50.300,1999
row-zqcp_b3i2-hb6a,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404930993 37.755587994),Mission,10,,0,-122.404931,37.75558799,94110,1001 Portrero Avenue,Main Building Fourth Floor East Terrace,City Agency,San Francisco General Hospital,Bronze,Bronze,,Untitled (Animal),Gift of the Chinese Cultural Center,Anonymous,1984.3,2024-04-17T12:53:50.300,
row-98ua.4cba~aiv3,2024-04-25T13:55:19.101,,,,,0,,,94128,,"Arrivals Stairway From Arrivals To Departures, BA/D",SFO,Terminal 2,cast bronze,cast bronze,"192"" H X 18""diameter",Cilindro Costruito,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"Pomodoro, Arnaldo",1985.1,2024-04-17T12:53:50.300,1983
row-t7s6~bpxv~4dph,2024-04-25T13:55:19.101,,,,,0,,,94128,,BAB,SFO,Terminal 1,Digital print on archival rag paper,,34 7/8 x 17 in.,Advice from My 80-Year-Old Self: Make it Up as You Go,,"O'Malley, Susan",T2018.46.h,2024-04-17T12:53:50.300,
row-fwb9-qn3w_bth8,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404930993 37.755587994),Mission,10,,0,-122.404931,37.75558799,94110,1001 Portrero Avenue,Acute Care Unit Pedestrian Walkway Potrero Entrance,City Agency,San Francisco General Hospital,Bronze,Bronze,24 x 48 x 20 in.,"Mother with Children with Hearts [Heart Figures Couple, Dr. and Patient with Crutch]",Collection of the City and County of San Francisco,"Otterness, Tom",2016.12.g,2024-04-17T12:53:50.300,2015
row-r3ks.nub2~f35z,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.390981096 37.734018817),Bayview Hunters Point,10,African American Arts & Cultural District,1,-122.3909811,37.73401882,94124,3rd Street & Palou Avenue,3Rd St. Between Oakdale And Palou Ave,Public Display,3rd Street Light Rail,Galvanized steel,Galvanized steel,60 x 108 x 144 in.,Untitled (Canopy panels),Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Third Street Light Rail Project,"Hayes, Frederick, JoeSam and Washington, Horace",2007.21.2.a-d,2024-04-17T12:53:50.300,2006
row-x8bq~i2q5.q67z,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.39827258 37.796900451),Financial District/South Beach,03,,0,-122.3982726,37.79690045,94111,480 Davis Court,"On Davis Court near intersection with Jackson Street, across from the Safeway",Public Display,,Red porphyry and stainless steel on concrete,Red porphyry and stainless steel,122 x 38 x 33 in.,Penguins,Collection of the City and County of San Francisco; Completed for the City of San Francisco under the Works Progress Administration,"Bufano, Beniamino",1942.3,2024-04-17T12:53:50.300,1930s
row-fxxm.kjgb_n2i4,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.498225227 37.772818815),Outer Richmond,01,,0,-122.4982252,37.77281881,94121,853 38th Avenue,,Public Display,Cabrillo Playground,Galvanized iron,Galvanized iron,,Dahlias,Collection of the City and County of San Francisco,"Crutcher, Colette",2017.5.a-b,2024-04-17T12:53:50.300,2013
