__id,data_loaded_at,the_geom,analysis_neighborhood,supervisor_district,cultural_districts,number_of_districts,longitude,latitude,zip_code,street_address_or_intersection,location_description,current_location,facility,media_support,medium,display_dimensions,display_title,credit_line,artist,accession_number,data_as_of,creation_date
row-688i-d7gi~9nqj,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.38987767 37.737174477),Bayview Hunters Point,10,African American Arts & Cultural District,1,-122.3898777,37.73717448,94124,3rd Street & La Salle Avenue,3Rd St. Between Kirkwood And La Salle Ave.,Public Display,3rd Street Light Rail,concrete,,Varies,Untitled (Paving inserts),Collection of the City and County of San Francisco; Commissioned by the San Franciso Arts Commission for the Third Street Light Rail Project,"Hayes, Frederick, JoeSam and Washington, Horace",2007.20.3.a-m,2024-04-17T12:53:50.300,2006
row-dthv.fep7-fmix,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.430164958 37.786113255),Japantown,05,Japantown Cultural District,1,-122.430165,37.78611325,94115,1731 Buchanan Street,"In middle of Buchannan pedestrian walkway; Between Post And Sutter St., In space between 1731 and 1740 Buchanan, closer to Sutter Street",Public Display,Japantown,Bronze on bricks,Bronze,78 x 96 x 96 in.,Origami Fountain,Collection of the City and County of San Francisco; Commissioned by the Redevelopment Agency,"Asawa, Ruth",1999.22.1,2024-04-17T12:53:50.300,1999
row-9r7s_np7m-6kj4,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.41583545 37.713479587),McLaren Park,10,Pacific Islander Cultural District,1,-122.4158355,37.71347959,94134,1701 Visitacion  Avenue,"Natatorium, South Wall",Public Display,Coffman Pool,Laminated glass with digitally printed underlayer,Laminated glass with digitally printed underlayer,120 x 198 in.,The Swimmers,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Coffman Pool,"Keefer, Katherine and Gillman, Steve",2017.4.a-b,2024-04-17T12:53:50.300,2008
row-v47m_dnyt.y5v4,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.394096013 37.774709355),Mission Bay,06,,0,-122.394096,37.77470935,94158,960 4th Street,Front Reading Room,Public Display,Mission Bay Library,Mixed media,Mixed media,60 x 12 1/2 x 10 in.,A Library Book,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the San Francisco Public Library Mission Bay Branch,"Koloski, Vince",2006.6,2024-04-17T12:53:50.300,2006
row-ykar~xcmt_webf,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.440837207 37.73186574),West of Twin Peaks,07,,0,-122.4408372,37.73186574,94131,236 Monterey Boulevard,Garden Walkways,Public Display,Sunnyside Conservatory,Bronze on concrete,Bronze,7 x 7 x 18 1/2 in.,Sunnyside Menagerie [gumpus bumpus],Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the Sunnyside Conservatory,Wowhaus,2009.7.16,2024-04-17T12:53:50.300,2009
row-nfvk-jeug.kct5,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.428492008 37.742582208),Noe Valley,08,,0,-122.428492,37.74258221,94131,295 Day Street,Day St. West Entrance,Public Display,Upper Noe Recreation Center,Forged and fabricated steel,Forged and fabricated steel,60 x 36 x 30 in.,Noe Valley Natives,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Upper Noe Recreation Center,"Corliss, Troy",2008.13.5,2024-04-17T12:53:50.300,2008
row-qv95_x5id_a7bi,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.478881456 37.731282699),Sunset/Parkside,04,,0,-122.4788815,37.7312827,94110,3090 23rd Street,Treat St. Entrance;  triangular park on 23rd St. between Treat Avenue and Folsom St.,Public Display,Parque Ninos Unidos,Glazed ceramic tile on cement,Glazed ceramic tile,69 x 10 in.,Los Ninos del Sol,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Parque Ninos Unidos,"Rodriguez, Isis",2005.11.h,2024-04-17T12:53:50.300,2003-07-26T00:00:00.000
row-trdt-grhu.5da4,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.415610134 37.784677215),Tenderloin,05,,0,-122.4156101,37.78467721,94109,570 Ellis Street,"Exterior Columns, Facing Playground",Public Display,Tenderloin Recreation Center,Glaze on ceramic tiles on concrete,Glaze on ceramic tiles,61 1/2  x 6 3/4 in.,Prediction,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Tenderloin Children's Recreation Center,"Poethig, Johanna",1995.9.3,2024-04-17T12:53:50.300,1995
row-xnfn_qfiz-sfhx,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.429141202 37.76946107),Hayes Valley,08,,0,-122.4291412,37.76946107,94114,Duboce Avenue & Church Street,"Duboce Avenue Between Church And Fillmore St., North Side",Public Display,,Bronze,Bronze,46 3/8 x 23 1/2 x 24 in.,Domestic Seating (Wooden Chair),Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Church and Duboce Streetscape Improvement Project,"Suárez-Wolfe, Primitivo",2013.5.c,2024-04-17T12:53:50.300,2012
row-hr3y~z9fd.nzrn,2024-04-25T13:55:19.101,,,,,0,,,94128,,Post-Security Concourse,SFO,Terminal 3 East,Mosaic,Mosaic,120 x 1308 in.,Untitled (Large Variation),Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission and the Airport Commission for the San Francisco International Airport,"Ellingson, Amy",2016.23,2024-04-17T12:53:50.300,2015
row-cr4w_efea_d2r2,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.405897643 37.802316863),North Beach,03,,0,-122.4058976,37.80231686,94133,1 Telegraph Hill Boulevard,Elevator Lobby,Public Display,Coit Tower,Oil on canvas,Oil,108 x 54 in.,Bay Area Hills,Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,"Cuneo, Rinaldo",1934.18.a,2024-04-17T12:53:50.300,1934
row-p7a8~cnex_fw2w,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.407513707 37.787936171),Financial District/South Beach,03,,0,-122.4075137,37.78793617,94108,333 Post Street,Center Of Plaza,Public Display,Union Square,Bronze figure on granite base on granite base,Bronze figure on granite base,1265  x 135  x 135 in.,"The Dewey Monument (Admiral George Dewey, 1837-1917)",Collection of the City and County of San Francisco; Funds raised by public subscription,"Aitken, Robert Ingersoll",1902.1,2024-04-17T12:53:50.300,1901
row-9wgc-9fyz~ieje,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.440837207 37.73186574),West of Twin Peaks,07,,0,-122.4408372,37.73186574,94131,236 Monterey Boulevard,Garden Walkways,Public Display,Sunnyside Conservatory,Bronze on concrete,Bronze,3 1/4 x 3 1/2 x 3/4 in.,Sunnyside Menagerie [glyphies],Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the Sunnyside Conservatory,Wowhaus,2009.7.19,2024-04-17T12:53:50.300,2009
row-yvpr~5h95-infu,2024-04-25T13:55:19.101,,,,,0,,,94128,,"Departures, Level 2",SFO,Terminal 1,Color sugarlift aquatint etching with chine collé,,"31""H x 54""W",Untitled,,"Kilgallen, Margaret",T2018.53,2024-04-17T12:53:50.300,1998
row-jwm7_mkk9~cd5t,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.429141202 37.76946107),Hayes Valley,08,,0,-122.4291412,37.76946107,94114,Duboce Avenue & Church Street,"Duboce Avenue Between Church And Fillmore St., SW Corner",Public Display,,Bronze,Bronze,39 1/2 x 25 x 29 1/2 in.,Domestic Seating (Rocking Chair),Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Church and Duboce Streetscape Improvement Project,"Suárez-Wolfe, Primitivo",2013.5.b,2024-04-17T12:53:50.300,2012
row-q8az-6ic4_gwgu,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.406737686 37.777633878),South of Market,06,SOMA Pilipinas Cultural District,1,-122.4067377,37.77763388,94103,Folsom Street & Russ Street,"north fence; park is boarded by Sherman St., Folsom St., Harrison St., and Columbia Square",Public Display,Victoria Manalo Draves Park,Stainless steel on Steel,Stainless steel,72  x 72  x 1/4 in.,Untitled,Collection of the City and County of San Francisco. Commissioned by the San Francisco Arts Commission for Victoria Manalo Park,"Pijoan, Irene",2007.1.a,2024-04-17T12:53:50.300,2004-2006
row-gwnd.pm2q~rsr3,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.48261188 37.762323422),Sunset/Parkside,04,Sunset Chinese Cultural District,1,-122.4826119,37.76232342,94122,1351 24th Avenue,Entrance Landscape,City Agency,Ocean Park Health Center,Copper and Bronze,Copper and Bronze,144 in.,Sailor and Mermaid,Collection of the City and County of San Francisco; Purchased by the San Francisco Arts Commission for the Central Police Station and North Beach Garage,"Marie-Rose, Henri",1969.6,2024-04-17T12:53:50.300,1969-1970
row-55bf.xdar.rsn4,2024-04-25T13:55:19.101,,,,,0,,,94128,,BAB,SFO,Terminal 1,Digital print on archival rag paper,,31 7/8 x 17 in.,Advice from My 80-Year-Old Self: You'll Get Through It,,"O'Malley, Susan",T2018.46.e,2024-04-17T12:53:50.300,
row-2j45~zh8h-airr,2024-04-25T13:55:19.101,,,,,0,,,94128,,"BAE : Across from Gate 61 : left side wall btw restrooms, Level 2",SFO,Terminal 3,Oil on canvas,Oil,"46"" H X 69"" W Framed",San Francisco Nova,Collection of the City and County of San Francisco. Purchased by the San Francisco Art Commission for the San Francisco International Airport,"Bechtle, Robert",1979.59,2024-04-17T12:53:50.300,1979
row-pzsq_3crv-pum4,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.478881456 37.731282699),Sunset/Parkside,04,,0,-122.4788815,37.7312827,94110,3090 23rd Street,Garden Entrance; triangular park on 23rd St. between Treat Avenue and Folsom St.,Public Display,Parque Ninos Unidos,Glazed ceramic tile on cement,Glazed ceramic tile,6 x 8 in.,Los Ninos del Sol,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Parque Ninos Unidos,"Rodriguez, Isis",2005.11.j,2024-04-17T12:53:50.300,2003-07-26T00:00:00.000
row-snb7-iid7~cwy6,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.410001246 37.796062843),Chinatown,03,,0,-122.4100012,37.79606284,94133,Powell Street & John Street,"Chinatown, Between Jackson St. And John St.",Public Display,Woh Hei Yuen Park,Granite,Granite,25 x 36 x 40 in.,Persimmon,Collection of the City and County of San Franisco; Commissioned by the San Francisco Arts Commission for Woh Hei Yuen Park,"Donahue, Marcia",1999.20.e,2024-04-17T12:53:50.300,1994
row-gv7f~vtar.4a42,2024-04-25T13:55:19.101,,,,,0,,,94128,,Departutes: Level 2,SFO,Terminal 1,Lenticular print,Lenticular print,"40""H x 30""W","They are Us, Us is Them",,"Thomas, Hank Willis",T2018.47,2024-04-17T12:53:50.300,2017
row-kf8i~ms49-ysa3,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404930993 37.755587994),Mission,10,,0,-122.404931,37.75558799,94110,1001 Portrero Avenue,Parking Garage 2500 24Th St. Nw And Ne Corner Facades,City Agency,San Francisco General Hospital,"Photographic images, glass on concrete","Photographic images, glass",4 stories,Untitled Photographic Images,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the San Francisco General Hospital Medical Center Garage,"Chamberlain, Ann",1997.11,2024-04-17T12:53:50.300,1997
row-xkfb.apkv_cmed,2024-04-25T13:55:19.101,,,,,0,,,94128,,"Harvey Milk Terminal 1, Boarding Area B",SFO,Terminal 1,,Bronze,,Unfolding Space,,"Vogt, Andrew (Andy)",T2018.7,2024-04-17T12:53:50.300,2020
row-sfrm-whk3_b4x6,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.440837207 37.73186574),West of Twin Peaks,07,,0,-122.4408372,37.73186574,94131,236 Monterey Boulevard,Garden Walkways,Public Display,Sunnyside Conservatory,Bronze on concrete,Bronze,18 x 10 x 12 in.,Sunnyside Menagerie [cakesydillo],Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the Sunnyside Conservatory,Wowhaus,2009.7.17,2024-04-17T12:53:50.300,2009
row-8eze-r6sf-jx6y,2024-04-25T13:55:19.101,,,,,0,,,94128,,"Gate 96, BA/G",SFO,International Terminal,"Painted wood, aluminum, acrylic",,240 x 324 x 2 3/4 in.,Everywhere a Color,Collection of the City and County of San Francisco,"Rosenberg, Leah",2018.3,2024-04-17T12:53:50.300,2018
row-iq7x_74sx.zkbk,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404930993 37.755587994),Mission,10,,0,-122.404931,37.75558799,94110,1001 Portrero Avenue,Acute Care Unit Roof Garden,City Agency,San Francisco General Hospital,Granite,Granite,44 x 40 x 50 in.,Breath Between Sky and Ocean [Boulder],Collection of the City and County of San Francisco,"Nagase, Masayuki",2016.11.b.1,2024-04-17T12:53:50.300,2015
row-sf44.p44s~77aa,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.428670823 37.778103662),Western Addition,05,,0,-122.4286708,37.77810366,94102,726 Fulton Street,3Rd Floor,Public Display,African American Art and Culture Complex,Fresco secco,Fresco secco,90 x 312 in.,Murals for the Acme Beer Company (Making and Bottling Beer),Collection of the City and County of San Francisco,"Moya del Pino, Jose",1973.26.c,2024-04-17T12:53:50.300,1935
row-r33n~mjdj.shyn,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.412599235 37.758153678),Mission,09,,0,-122.4125992,37.75815368,94110,2450 Harrison Street,"Gymnasium, Upstairs",Public Display,Mission Recreation Center,Oil enamels,Oil enamels,84  x 48 in.,Players,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Mission Recreation Center,"Boyce, Roger",1985.24.2,2024-04-17T12:53:50.300,1985
row-gkxc-epn5~zynm,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404809689 37.794457951),Chinatown,03,,0,-122.4048097,37.79445795,94108,Clay Street & Kearny Street,Lower Level,Public Display,Portsmouth Square,cast concrete,cast concrete,42 1/2 x 36 x 72 in.,Lion,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Portsmouth Square,"Fuller (McChesney), Mary",1999.19.2,2024-04-17T12:53:50.300,1999
row-mhwq-ij3r~d4r6,2024-04-25T13:55:19.101,,,,,0,,,94132,Stern Grove Entry Road & Wawona Street,Stern Grove Entry Rd.,Public Display,Trocadero Clubhouse,Stained glass on wood,Stained glass,40 x 30 in.,Stern Grove Trocadero Clubhouse [first floor window],Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Stern Grove Historic Renovation,"Kogure, Kimiko",1987.44.h,2024-04-17T12:53:50.300,1987
row-2yrg.9eec-eqwx,2024-04-25T13:55:19.101,,,,,0,,,94131,375 Laguna Honda Boulevad,Link Building Level 1,City Agency,Laguna Honda Hospital,cotton thread tapestry,cotton thread tapestry,,1949-1958: Community Activities at Laguna Honda,Collection of the City and County of San Francisco,"deSoto, Lewis",2011.14.7,2024-04-17T12:53:50.300,2004-2009
row-iz4k~s32f.paeh,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.415610134 37.784677215),Tenderloin,05,,0,-122.4156101,37.78467721,94109,570 Ellis Street,"Exterior Columns, Facing Street",Public Display,Tenderloin Recreation Center,Glazed ceramic tiles on concrete,Glazed ceramic tiles,61 1/2  x 6 3/4 in.,Epic,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Tenderloin Children's Recreation Center,"Poethig, Johanna",1995.9.4,2024-04-17T12:53:50.300,1995
row-qjrn_rsv8-t4gy,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.473865095 37.724828313),West of Twin Peaks,07,,0,-122.4738651,37.72482831,94132,300 Stonecrest Drive,Clubhouse North And South Exterior,Public Display,Junipero Serra Playground,Glazed ceramic tile,Glazed ceramic tile,Varies,Untitled,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Junipero Serra Playground clubhouse,"Finneran, Bean",2008.7.a-b,2024-04-17T12:53:50.300,2008
row-79xd-7v4t_nx75,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.443478172 37.726551171),Outer Mission,11,,0,-122.4434782,37.72655117,94112,51 Havelock Street,Pool Building : Indoors,City Agency,Recreation & Park Department : Balboa Pool,Mineral silicate paint on concrete,Mineral silicate paint,156 x 444 in.,All My Friends at Once,Commissioned by the San Francisco Arts Commission for the Balboa Pool Improvement Project;  Collection of the City and County of San Francisco,"Jägel, Jason",2019.2,2024-04-17T12:53:50.300,
row-ugi2.jn8s~qr4n,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.415610134 37.784677215),Tenderloin,05,,0,-122.4156101,37.78467721,94109,570 Ellis Street,First Floor Gymnasium,Public Display,Tenderloin Recreation Center,Ceramic tiles,Ceramic tiles,79  x 60  x 17 in.,H20,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Tenderloin Children's Recreation Center,"Poethig, Johanna",1995.9.2,2024-04-17T12:53:50.300,1995
row-xwgi-wj98.78bg,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.423212798 37.767103649),Mission,09,American Indian Cultural District,1,-122.4232128,37.76710365,94103,390 Valencia Street,Southeast Courtyard,Public Display,Valencia Gardens Apartments,Granite on concrete,Granite,79  x 24  x 46 in.,Rabbit,Collection of the City and County of San Francisco; Completed for the City of San Francisco under the Works Progress Administration,"Bufano, Beniamino",1942.7,2024-04-17T12:53:50.300,1930s
row-bh78.kvm2.jvc7,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.423212798 37.767103649),Mission,09,American Indian Cultural District,1,-122.4232128,37.76710365,94103,390 Valencia Street,,Public Display,Valencia Gardens Apartments,Granite,Granite,29  x 34 1/2  x 65 in.,Cat,Collection of the City and County of San Francisco; Completed for the City of San Francisco under the Works Progress Administration,"Bufano, Beniamino",1942.11,2024-04-17T12:53:50.300,1935
row-d2f9.hbz4-vzp8,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.436256275 37.76048502),Castro/Upper Market,08,Castro LGBTQ Cultural District,1,-122.4362563,37.76048502,94114,100 Collingwood Street,Interior Lobby,Public Display,Eureka Valley Recreation Center,Cold-cast bronze and zinc/aluminum,Cold-cast bronze and zinc/aluminum,10 x 10 x 4 in.,From the Heart Outwards,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commision for the Eureka Valley Recreation Center,"Saulls, Vicki",2006.5.l,2024-04-17T12:53:50.300,2005
row-cwg3~49ey.rvhv,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.465837908 37.772613463),Golden Gate Park,01,,0,-122.4658379,37.77261346,94118,John F. Kennedy Drive & 8th Avenue,Redwood Memorial Grove,Public Display,Golden Gate Park,Bronze on Stone,Bronze,168  x 126  x 97 in.,Doughboy,Collection of the City and County of San Francisco; Purchased in 1930 by popular subscription (52 parlors of the Native Sons and Daughters of the Golden,"Cummings, M. Earl",1930.1,2024-04-17T12:53:50.300,1928
row-eydt_fg25.pu3s,2024-04-25T13:55:19.101,,,,,0,,,94128,,"Main Hall, Level 3",SFO,International Terminal,"Oil, acrylic, wood, ceramic, cast glass, found objects","Oil, acrylic, wood, ceramic, cast glass, found objects.","60' L X 10' W overall; each square 3"" X 3""",Gateway,Commissioned by the San Francisco Arts Commission for San Francisco International Airport; Collection of the City and County of San Francisco.,"Kang, Ik-Joong",2000.6,2024-04-17T12:53:50.300,2000
row-2zcm-cvnt.hbtb,2024-04-25T13:55:19.101,,,,,0,,,94116,375 Laguna Honda Boulevad,Administration Building Outside Main Entrance,City Agency,Laguna Honda Hospital,Cast stone on cast concrete base,Cast stone,84 x 29 x 17 in.,Florence Nightingale (1820-1910),Collection of the City and County of San Francisco,"Edstrom, David",1938.1,2024-04-17T12:53:50.300,1938
row-rwqw.7s64.ygtm,2024-04-25T13:55:19.101,,,,,0,,,94128,,Gate 71B,SFO,Terminal 3,Pigment print on archival paper,Pigment print,35 x 35 in.,Everywhere All at Once; Landscape #18,Collection of the City and County of San Francisco; Purchased by the San Francisco Arts Commission and the Airport Commission for the San Francisco International Airport,"Marsh, Vanessa",2016.24.a,2024-04-17T12:53:50.300,
row-yn8b~ds8u~5d6y,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.405897643 37.802316863),North Beach,03,,0,-122.4058976,37.80231686,94133,1 Telegraph Hill Boulevard,2nd Floor,Public Display,Coit Tower,Fresco,Fresco,108 x 72 in.,Children at Play,Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,"Chesse, Ralph A.",1934.24,2024-04-17T12:53:50.300,1934
row-dagd~q4gj.qch2,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.478881456 37.731282699),Sunset/Parkside,04,,0,-122.4788815,37.7312827,94110,3090 23rd Street,Park And Playground Entrances;  triangular park on 23rd St. between Treat Avenue and Folsom St.,Public Display,Parque Ninos Unidos,Glazed ceramic tile on cement,Glazed ceramic tile,varies,Los Ninos del Sol,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Parque Ninos Unidos,"Rodriguez, Isis",2005.11.a-q,2024-04-17T12:53:50.300,2003-07-26T00:00:00.000
row-38uj.76p6~jmsj,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.440837207 37.73186574),West of Twin Peaks,07,,0,-122.4408372,37.73186574,94131,236 Monterey Boulevard,Garden Walkways,Public Display,Sunnyside Conservatory,Bronze on concrete,Bronze,16 x 6 x 8 in.,Sunnyside Menagerie [possumbat],Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the Sunnyside Conservatory,Wowhaus,2009.7.24,2024-04-17T12:53:50.300,2009
row-2xrx~f4b2.5x2t,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.404809689 37.794457951),Chinatown,03,,0,-122.4048097,37.79445795,94108,Clay Street & Kearny Street,Lower Level Playground,Public Display,Portsmouth Square,cast concrete,cast concrete,16 x 15 x 15 in.,Bench support (Ox),Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Portsmouth Square,"Fuller (McChesney), Mary",1999.19.4,2024-04-17T12:53:50.300,1999
row-5xts_vcg8.2239,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.498225227 37.772818815),Outer Richmond,01,,0,-122.4982252,37.77281881,94121,853 38th Avenue,39Th Avenue Side,Public Display,Cabrillo Playground,Galvanized iron,Galvanized iron,121 x 222 in.,Dahlias,Collection of the City and County of San Francisco,"Crutcher, Colette",2017.5.b,2024-04-17T12:53:50.300,2013
row-sn5c-yn3d_gx99,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.469957055 37.770066006),Golden Gate Park,07,,0,-122.4699571,37.77006601,94118,75 Hagiwara Tea Garden Drive,Near Entrance of Tea Garden,Public Display,Hagiwara Tea Garden,Bronze on rock,Bronze,20 x 24 x 15 in.,Hagiwara Family Plaque,Collection of the City and County of San Francisco; Gift of the John McLaren Society for the Japanese Tea Garden,"Asawa, Ruth",1974.24.a-f,2024-04-17T12:53:50.300,1974
row-674y~7rcc~8rhi,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.398165283 37.796191019),Financial District/South Beach,03,,0,-122.3981653,37.79619102,94111,Davis Street & Washington Street,"Northwest Corner; Park is boarded by Clay St, Washinton St., Davis St., and Drumm St.",Public Display,Maritime Plaza,Bronze,Bronze,135 x 75 x 75 in.,Bronze Icosaspirale,Collection of the City and County of San Francisco; Purchased through a project of the Redevelopment Agency for the Golden Gateway Plaza,"Perry, Charles O.",1966.23,2024-04-17T12:53:50.300,1966
row-dxtb.fae4.va4i,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.485072557 37.785009642),Outer Richmond,01,,0,-122.4850726,37.78500964,94121,238 25th Avenue,24Th St. Entrance Walkway,Public Display,Rochambeau Playground,"Glass and ceramic tile, sanded and unsanded grout on concrete","Glass and ceramic tile, sanded and unsanded grout",95 x 72 x 72 in.,Play Ball (Basketball),Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commissionfor the Rochambeua Playground,"Poethig, Johanna",2003.7.b,2024-04-17T12:53:50.300,2003
row-ck59.u6dy~e3tr,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.410001246 37.796062843),Chinatown,03,,0,-122.4100012,37.79606284,94133,Powell Street & John Street,"Chinatown, Between Jackson St. And John St.",Public Display,Woh Hei Yuen Park,Granite,Granite,21 x 42 x 36 in.,Moon Face,Collection of the City and County of San Franisco; Commissioned by the San Francisco Arts Commission for Woh Hei Yuen Park,"Donahue, Marcia",1999.20.a,2024-04-17T12:53:50.300,1994
row-byi2.zu5w_qphj,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.419717344 37.752002152),Mission,09,,0,-122.4197173,37.75200215,94110,300 Bartlett Street,,Public Display,Mission Library,Mixed media color Lino-cut print,Mixed media color Lino-cut print,37  x 74 in.,Egypt's Contribution to European Civilization,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the San Francisco Public Library Mission Branch,"Montoya, Emmanuel Catarino",1999.8.1,2024-04-17T12:53:50.300,1999
row-zscz.5xym~ufj4,2024-04-25T13:55:19.101,,,,,0,,,94128,,"BA/C, Departures",SFO,Terminal 1,"Stainless steel cable, painted aluminum tubing, sheeting and screening","Stainless steel cable, painted aluminum tubing, sheeting and screening","264"" H X 276"" W X 756"" D",Flight Patterns,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"Kirkland, Larry",1987.16,2024-04-17T12:53:50.300,1987
row-qbe6.s3yy~qikp,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.415824583 37.782602353),Tenderloin,05,,0,-122.4158246,37.78260235,94102,400 Turk Street,Administrative Offices Access Point wall,City Agency,Department of Homelessness and Supporative Services,vitreous glass tile,vitreous glass tile,,Where Community Happens,,"Sesay, Muzae",T2020.8,2024-04-17T12:53:50.300,2019
row-yxgd.jds8-ipzm,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.423960277 37.773894182),Hayes Valley,06,,0,-122.4239603,37.77389418,94102,Octavia Boulevard & Page Street,At Page St. NW Corner,Public Display,Octavia Blvd.,"Stainless steel, mirror and glass lenses","Stainless steel, mirror and glass lenses",58 x 8 x 4 1/2 in.,Ghinlon/Transcope,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Octavia Boulevard Streetscape Project,Wang Po Shu,2007.32.5,2024-04-17T12:53:50.300,2005
row-ann8-dmhc-v9v3,2024-04-25T13:55:19.101,,,,,0,,,94116,375 Laguna Honda Boulevad,Courtyard E,City Agency,Laguna Honda Hospital,Molded fiberglass,Molded fiberglass,,Re-connection/Re-cognition,,"Glatt, Linnea",2011.16.1-10,2024-04-17T12:53:50.300,
row-992m-834p-7hsy,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.441657105 37.784999899),Japantown,05,,0,-122.4416571,37.7849999,94115,2501 Sutter Street,"Lower Pacific Heights, Westside Courts Housing Project, Central Courtyard; boarded by Sutter, Broderick, Baker and Post Streets",Public Display,Westside Courts,Granite on Bricks and mortar,Granite,164 x 62 x 26 in.,Horse and Rider (St. Francis on Horseback),Collection of the City and County of San Francisco; Created for the Works Progress Administration,"Bufano, Beniamino",1942.13,2024-04-17T12:53:50.300,1935
row-ym24-3gc3.5b56,2024-04-25T13:55:19.101,SRID=4326;POINT (-122.38987767 37.737174477),Bayview Hunters Point,10,African American Arts & Cultural District,1,-122.3898777,37.73717448,94124,3rd Street & La Salle Avenue,3Rd St. Between Kirkwood And La Salle Ave.,Public Display,3rd Street Light Rail,Galvanized steel on painted steel,Galvanized steel,60 x 108 x 144 in.,Untitled (Canopy panels),Collection of the City and County of San Francisco; Commissioned by the San Franciso Arts Commission for the Third Street Light Rail Project,"Hayes, Frederick, JoeSam and Washington, Horace",2007.20.2.a-d,2024-04-17T12:53:50.300,2006
